name,lng,lat
吉林.二道江厂,126.1562801,41.77262596
吉林.小山电站厂,126.565019,42.856481
吉林.北郊,126.054146,42.966822
吉林.桃源,127.383358,44.206222
吉林.致富,126.785776,44.059765
吉林.伊通,125.294234,43.375851
吉林.两江电站厂,126.541162,43.814725
吉林.白山水厂,126.4357977,41.9458594
吉林.郑家,124.356804,43.394551
吉林.双辽,123.7085202,43.76769488
吉林.长岭,123.8665043,44.30564453
吉林.浑江厂,126.3966429,41.79164223
吉林.磐石,126.1746278,43.05745611
吉林.新立,126.737024,44.123784
吉林.延东,129.5421499,42.81559458
吉林.图们,129.8343108,43.03054892
吉林.延西,129.456556,42.899373
吉林.敦化,128.2394993,43.56020184
吉林.公主岭,124.6858822,43.79182607
吉林.水洞,126.036355,42.361402
吉林.九台,125.9688268,44.19437211
吉林.镇赉,123.4522721,45.95617192
吉林.洮南,122.4536773,45.4756043
吉林.临江,127.1917103,41.81656597
吉林.金厂子,126.312032,43.002171
吉林.靖宇,126.9024685,42.44996651
吉林.松江河,127.8595633,42.78803645
吉林.长流,125.925486,41.782562
吉林.长春二热厂,125.3136424,43.89833761
吉林.白山,126.4357977,41.9458594
吉林.苗胜,125.5283657,42.70289932
吉林.梅河,125.691159,42.540206
吉林.德惠,125.7690444,44.51050715
吉林.舒兰,127.1167723,44.33546514
吉林.辽源,125.1336861,42.92330262
吉林.桦甸,127.0413924,43.0566311
吉林.扶余,125.5645633,45.13109192
吉林.蛟河,127.3517419,43.71675608
吉林.巨丰,126.569072,43.8526
吉林.四平,124.3913821,43.1755247
吉林.白城,122.8407767,45.62108628
吉林.珲春厂,130.7023666,43.07471934
东北.东丰站,125.4548089,42.6839339
东北.包家站,126.413109,43.949165
吉林.前郭,124.603686,45.33340658
吉林.城西,126.038545,42.950286
吉林.红石水厂,127.056399,42.991653
吉林.哈达湾,126.5530718,43.96352783
吉林.双辽厂,123.7085202,43.76769488
吉林.明城,126.019535,43.199858
吉林.丰满水厂,126.6982021,43.65451533
吉林.大安,124.296206,45.513448
东北.通化站,125.9426501,41.73639713
吉林.白山热电厂,126.4357977,41.9458594
吉林.双阳,125.7128224,43.53174702
吉林.榆树,126.6025008,44.87942293
吉林.东郊,125.419035,43.91044
东北.合心站,125.154799,43.955704
吉林.西郊,125.279124,43.896793
吉林.铁东,126.62532,43.898433
吉林.农安,125.0943271,44.46150609
吉林.五棵树,126.16218,44.794773
吉林.化肥,125.29147,43.869082
吉林.松花江厂,126.543978,43.82986
吉林.长山厂,126.069684,42.916297
吉林.城南,126.036906,43.293214
吉林.汪清,129.9539944,43.54014392
东北.松原站,124.8329945,45.13604897
吉林.长白,127.8643584,41.58470916
吉林.白城发厂,122.8407767,45.62108628
东北.龙嘉站,125.687103,44.071733
吉林.玉林,126.504473,43.895197
